,dbn,school_name,boro,grade_span_min,grade_span_max,zip,total_students,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,extracurricular_activities,school_sports,partner_highered,ell_programs,number_programs,psal_sports_boys,psal_sports_girls,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,student_satisfaction_2013,ontrack_year1_2012,graduation_rate_2012,college_career_rate_2012,student_satisfaction_2012,ontrack_year1_historic_avg_similar_schls,graduation_rate_historic_avg_similar_schls,college_career_rate_historic_avg_similar_schls,student_satisfaction_historic_avg_similar_schls,quality_review_rating,quality_review_year,program,interest,eng,math,soc,sci,stm,ela,seat_gr09,app_gr09,seat_gr10,app_gr10
72,02M542,Manhattan Bridges High School,Manhattan,9,12,10019,552,,"Eagle Academy III is an all-male college preparatory school (grades 6-12) that educates and develops young men into future leaders. This is done through strategic partnerships between our scholars, administrators, teachers, parents, mentors, and community supporters. Through Eagleâ€™s mission to cultivate integrity, students use team-building and community service while working in a nurturing and academically rigorous environment. Thus, these young men will exhibit our core values of academic excellence, leadership and character, supported by the following initiatives: Mentoring, Saturday Institute, Summer Programs, Community Service, Parental Engagement and Extended Learning Opportunities.","Saturday Academy, Chess, Debate, Drumline, Homework Assistance, Academic Intervention Service (AIS), Robotics, Guitar, Violin",Spanish,"Calculus AB, English Language and Composition, Macroeconomics, Spanish Language and Culture, Spanish Literature and Culture, Statistics","Academic Intervention Services (Extended Day), Art, Book, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, iMentor, International Center for Photography, Career Exploration Job Shadowing, Junior Achievement of New York, Mentoring, MOUSE Squad, Music, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga","Running Club, Workout Club","Cornell University, Columbia University, Rochester Institute of Technology, New Jersey Institute of Technology, New York University, Teachers College, The CUNY Graduate Center, CUNY City College of New York, CUNY John Jay College, CUNY Borough of Manhattan Community College, CUNY New York City College of Technology, The Cooper Union for the Advancement of Science and Art, St. John's University, Bronx Institute at Lehman College",ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,4,"Baseball, Football, Outdoor Track",,98%,82%,70%,8.3,92%,87%,52%,7.2,80%,71%,49%,7.5,Well Developed,2007-08,Bilingual Spanish Information Technology and Computer Science,Computer Science & Technology,Scores 70-100,Scores 75-100,Scores 75-100,Scores 75-100,,,60,476,None,None
73,02M542,Manhattan Bridges High School,Manhattan,9,12,10019,552,,"East Bronx Academy for the Future is a technology-based school for students in grades 6 through 12. Our students learn the content and skills required by the New York State Board of Regents combined with project-based learning and a focus on using technology in the classroom. Students learn in small classes, using computers and completing hands-on projects. Accelerated students take college courses in partnership with Lehman College. East Bronx Academy students graduate from high school ready for college and the world of work. Our graduates are linked to careers that employ technology, such as journalism, the arts, engineering, architecture and urban planning.","Accelerated Regents Curriculum, Credit-bearing after-school courses for acceleration, optional Saturday courses, National Academy for Excellent Teaching, Middle Grades Initiative, JumpStart",Spanish,"Calculus AB, English Language and Composition, Macroeconomics, Spanish Language and Culture, Spanish Literature and Culture, Statistics","Academic Intervention Services (Extended Day), Art, Book, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, iMentor, International Center for Photography, Career Exploration Job Shadowing, Junior Achievement of New York, Mentoring, MOUSE Squad, Music, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga","Running Club, Workout Club","Cornell University, Columbia University, Rochester Institute of Technology, New Jersey Institute of Technology, New York University, Teachers College, The CUNY Graduate Center, CUNY City College of New York, CUNY John Jay College, CUNY Borough of Manhattan Community College, CUNY New York City College of Technology, The Cooper Union for the Advancement of Science and Art, St. John's University, Bronx Institute at Lehman College",ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,4,,,98%,82%,70%,8.3,92%,87%,52%,7.2,80%,71%,49%,7.5,Well Developed,2007-08,Bilingual Spanish Pre-Engineering,Engineering,Scores 80-100,Scores 80-100,Scores 80-100,Scores 80-100,Levels 2-4,Levels 2-4,30,235,None,None
74,02M542,Manhattan Bridges High School,Manhattan,9,12,10019,552,,"EBC High School for Public Service-Bushwick is a small school focused on individual excellence, high academic standards and service to the community. We have an educational culture that instills respect, self-discipline and strong intellectual values. At EBC, students are offered the opportunity to serve their community and are supported by our staff through an Advisory Program. Students, staff and parents/guardians thrive in a school that values personalization in education and offers a challenging academic program that prepares students for college and life after high school while nurturing and empowering students to serve as tomorrow's leaders, today!","El Puente, New Millennium Peer Tutoring, Public Service Learning, Honors Classes",Spanish,"Calculus AB, English Language and Composition, Macroeconomics, Spanish Language and Culture, Spanish Literature and Culture, Statistics","Academic Intervention Services (Extended Day), Art, Book, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, iMentor, International Center for Photography, Career Exploration Job Shadowing, Junior Achievement of New York, Mentoring, MOUSE Squad, Music, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga","Running Club, Workout Club","Cornell University, Columbia University, Rochester Institute of Technology, New Jersey Institute of Technology, New York University, Teachers College, The CUNY Graduate Center, CUNY City College of New York, CUNY John Jay College, CUNY Borough of Manhattan Community College, CUNY New York City College of Technology, The Cooper Union for the Advancement of Science and Art, St. John's University, Bronx Institute at Lehman College",ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,4,"Baseball, Basketball","Basketball, Tennis, Volleyball",98%,82%,70%,8.3,92%,87%,52%,7.2,80%,71%,49%,7.5,Well Developed,2007-08,Dual Language Spanish Pre-Engineering,Engineering,Scores 80-100,Scores 80-100,Scores 80-100,Scores 80-100,Levels 2-4,Levels 2-4,20,141,None,None
75,02M542,Manhattan Bridges High School,Manhattan,9,12,10019,552,,"Edward R. Murrow High School is a non-traditional educational environment. We take pride in preparing all students to be college ready, career ready and life ready. Designated a 'School of Excellence' by the United States Department of Education, Edward R. Murrow High School has a long tradition of offering a wide variety of courses that are enhanced by high-quality instruction. Here at Murrow, we also offer a wide range of extracurricular activities in a safe learning environment that helps students discover their interests as they learn to make their way in the world.","Science Research (MSTAR Program), Math Seminar, Murrow Med Program, Journalism, Film Review, Psychology and Literature, Shakespeare, Law, Holocaust/African/Latin Literature, Astronomy, Forensics, Marine Science, Statistics, Accounting, PowerPoint, Web Design, Business Law, Film Production, Photography, Digital Photography, Technical Theatre, Ceramics, Sculpture, Architectural Design, Fashion Design, Stage Construction and Design/Lighting/Costuming, Play Production; Jazz, Concert and Symphonic Bands; String and Chamber Orchestras; Guitar Ensemble; Women's Mixed, Gospel Chorus and Madrigal Choir; Piano, Guitar, Percussion, Virtual Enterprise, Part-time Co-op, College Now",Spanish,"Calculus AB, English Language and Composition, Macroeconomics, Spanish Language and Culture, Spanish Literature and Culture, Statistics","Academic Intervention Services (Extended Day), Art, Book, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, iMentor, International Center for Photography, Career Exploration Job Shadowing, Junior Achievement of New York, Mentoring, MOUSE Squad, Music, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga","Running Club, Workout Club","Cornell University, Columbia University, Rochester Institute of Technology, New Jersey Institute of Technology, New York University, Teachers College, The CUNY Graduate Center, CUNY City College of New York, CUNY John Jay College, CUNY Borough of Manhattan Community College, CUNY New York City College of Technology, The Cooper Union for the Advancement of Science and Art, St. John's University, Bronx Institute at Lehman College",ESL; Dual Language: Spanish; Transitional Bilingual Program: Spanish,4,"Volleyball, Wrestling","Cross Country, Volleyball",98%,82%,70%,8.3,92%,87%,52%,7.2,80%,71%,49%,7.5,Well Developed,2007-08,Dual Language Spanish Information Technology and Computer Science,Computer Science & Technology,Scores 80-100,Scores 80-100,Scores 80-100,Scores 80-100,Levels 2-4,Levels 2-4,25,183,None,None
76,02M543,New Design High School,Manhattan,9,12,10002,439,,"Epic High School â€“ North, an outgrowth of the NYC Expanded Success Initiative,  provides a rigorous, culturally relevant, academic program that prepares students  for the demands of college and careers. Epic's personalized approach to  instruction challenges students to dream big and design their futures. It engages  students in solving real-world problems and supports their individual progress  and growth. Epic students graduate confident in their ability to transform the  world around them","Culturally relevant practices, blended instruction with both  teacher-led classes and use of digital resources, real-world problem-based  learning, student choice on elective courses, CORE advisory program focused on  personal and social development, mentoring, rites of passage experiences,  college and career counseling starting in 9th grade, internships, college-level  courses in upper grades, community service opportunities.",Spanish,"English Literature and Composition, United States History","Academic Support, Animation, Community Service, Dance, Filmmaking, Governor's Committee on Scholastic Achievement (GCSA), SAT Prep, Internship Center for Urban Pedagogy (CUP), Poets and Playwrights, Urban Arts Peapod Academy, Yearbook, Youth Empowerment Leadership for Boys and Girls; Partnership programs in art, media, music production, theater, playwriting, poetry, and photography",Basketball,"New York University (NYU) Steinhardt School of Culture Education and Human Development, Columbia University (Double Discovery Center)",ESL,1,Based on student interest.,Based on student interest.,73%,85%,58%,7.6,90%,79%,48%,7.3,78%,73%,51%,7.3,Proficient,2007-08,New Design High School,Visual Art & Design,,,,,,,108,1896,None,None
77,02M545,High School for Dual Language and Asian Studies,Manhattan,9,12,10002,410,,"Epic High School â€“ South, an outgrowth of the NYC Expanded Success Initiative,  provides a rigorous, culturally relevant, academic program that prepares students  for the demands of college and careers. Epic's personalized approach to  instruction challenges students to dream big and design their futures. It engages  students in solving real-world problems and supports their individual progress  and growth. Epic students graduate confident in their ability to transform the  world around them.  ","Culturally relevant practices, blended instruction with both  teacher-led classes and use of digital resources, real-world problem-based  learning, student choice on elective courses, CORE advisory program focused on  personal and social development, mentoring, rites of passage experiences,  college and career counseling starting in 9th grade, internships, college level  courses in upper grades, community service opportunities. ",Chinese (Mandarin),"Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, English Language and Composition, Human Geography, Statistics, United States History","Academic Enrichment, Art, Bridge, Chess, Chinese Culture and Enrichment, College Prep, Gallery Exhibits, Kaplan SAT Prep, Lion Dance, Math Research, Math Team, Peer Tutoring, PM School, Saturday ESL Classes","Badminton, Ping-Pong, Saturday Fitness, Swimming, Team Sports","New York University, City University of New York (CUNY) Borough of Manhattan Community College, Baruch College",ESL; Dual Language: Chinese; Transitional Bilingual Program: Chinese,1,Based on student interest.  ,Based on student interest.  ,98%,98%,88%,7.6,96%,93%,95%,7.1,91%,91%,77%,7.6,Well Developed,2007-08,High School for Dual Language and Asian Studies,Humanities & Interdisciplinary,Scores 80-100,Scores 80-100,Scores 80-100,Scores 80-100,Levels 2-4,Levels 2-4,108,1152,None,None
78,02M546,Academy for Software Engineering,Manhattan,9,12,10003,241,CTE School,"Esperanza Preparatory Academy (EPA) is a dual-language college preparation school. Students master Spanish as a native or second language, as well as academic, social and communication skills. We offer students Spanish courses with the goal that they will be able to take college/AP courses in Spanish Literature, and become proficient in both Spanish and English. We prepare students for college by providing them with internship opportunities and a mentor that will expose them to college life/academics. Students work collaboratively with their mentors to arrange college tours and develop college portfolios, and have the opportunity to take college courses.","Dual Language program, Career and college counseling and advisory, College Now courses",Spanish,"Biology, Calculus AB, Chemistry, Computer Science AB, United States Government and Politics","After-school and Saturday Tutoring, Entrepreneur/Start-up Workshops, National Honor Society, Drama, Community Service, Gaming, Science Olympics, Programming and Software Development, Robotics, SAT Prep,",,,ESL,1,,,97%,N/A,N/A,8.3,N/A,N/A,N/A,N/A,84%,N/A,N/A,7.5,N/A,N/A,Academy for Software Engineering (AFSE),Computer Science & Technology,,,,,,,108,1886,None,None
79,02M551,Urban Assembly New York Harbor School,Manhattan,9,12,10004,439,CTE School,"Essex Street Academy prepares all students for success in college and careers by treating them as individuals with specific strengths and needs and appealing to their intellectual curiosity. We offer elective courses that challenge students to develop their own ideas and push them to learn by doing. Students design and conduct experiments, develop historical theses, analyze works of literature and develop solutions and proofs for mathematical problems. Small class size makes a personalized approach to education possible, enabling teachers to develop an individual relationship with each student. At Essex Street Academy, our students are active, not passive, learners and graduate from our school confident in their ability to tackle any problem they encounter.","9th-10th grade courses include: Ecology, Genetics, Human Impact, Response to Literature, Persuasive Writing, Studio Art, Music; 11th grade year-long intensive courses in Theater or Studio Art; 9th-12th Grade Math sequence culminating in Calculus; 11th-12th grade courses include: Physics, Neuroscience, Anatomy & Physiology, Chemistry, Personal Narrative, Constitutional Law, American Foreign Policy; College Counseling: Full-time counselors, overnight trips to colleges, SAT Prep, individualized counseling; College courses offered to 11th and 12th graders via New York University (NYU), The City University of New York (CUNY) and Monroe College; Advisory; 12th grade internship program",Spanish,"Calculus AB, English Literature and Composition, Environmental Science","Maritime: Aquabotics, Fishing, Boat Building, Marine Systems Technology, Vessel Operations; Sustainability: Composting, Garden, Harbor Corps, Harbor Seals; Other: National Honor Society (NHS), National Park Service, Newspaper, Student Advisors Instilling Leadership (SAIL), Yearbook","Fishing, Rowing, Sailing, Swimming","Baruch College, Cornell Cooperative Extension, Kingsborough Community College, Lamont Doherty Earth Observatory, Manhattan College, MATE Center, Roger Williams University, Rutgers University, Sandy Hook Pilots SanSail, Stevens Institute of Technology, Stony Brook University, SUNY Maritime College, US Merchant Marine Academy, Westlawn Institute of Marine Technology",ESL,1,"Baseball, Basketball, Bowling, Volleyball","Basketball, Bowling, Tennis, Volleyball",90%,71%,71%,7.3,77%,86%,54%,6.9,80%,75%,55%,7.3,N/A,N/A,Urban Assembly New York Harbor School,Science & Math,,,,,,,108,922,10,31
80,02M580,Richard R. Green High School of Teaching,Manhattan,9,12,10004,593,,"Excelsior Preparatory High School, a collaborative, college preparatory learning community, offers a challenging academic and multicultural program. We are a small high school that was created in partnership with the Institute for Student Achievement (ISA). All students are expected to take four years of math, English and science in order to be college-ready. We are one of the few small schools affiliated with the Gateway Institute for Pre-College Education program and pride ourselves on being a diverse school community.","Extended Day Enrichment classes in Digital Photography, Debate, Drama, African American Literature, Culinary Arts, Advanced Art & Creative Writing; Credit-earning College Now classes including Aviation Business, Fine Arts, Genetics, Environmental Biology, Medical Technology, Pre-Calculus, Sociology & Psychology; Advisory classes, Saturday Academy, On-site health clinic, DMV certification, SAT & Regents prep, STEM research internships, Queens College lab research in Chemistry, Biology & Physics, Annual Science Symposium with Queens College, The Urban Barcode project",Spanish,"English Language and Composition, English Literature and Composition, United States Government and Politics, United States History","Art, Bank of America Future Leaders, Book, College for Every Student (CFES), College Mentoring for Access and Persistence (MAP), The Future Project, New York Cares, Peer Tutoring, Peer Mediation Center, Senior Activities, Student Government Organization, The Dream Team, Yearbook, Anti-Defamation League Peer Leaders (ADL), Sports Blogging/ Webcasting",,"City College of New York, Hunter College College Now Program, New York University, Williams College Urban Scholars, Roger Williams University, Skidmore College, Paul Smith's College",ESL,2,"Baseball, Basketball & JV Basketball, Bowling, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling","Basketball & JV Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",71%,72%,55%,7,61%,74%,41%,6.8,76%,70%,47%,7.3,Proficient,2010-11,Teaching Academy,Teaching,,,,,,,80,428,10,20
81,02M580,Richard R. Green High School of Teaching,Manhattan,9,12,10004,593,,"Eximius College Preparatory Academy is dedicated to developing high-achieving students of good character who use academic, technological and social skills to inspire others and contribute to their community. Our values are academic excellence, community citizenship, self-determination, compassion, integrity, reflective living and unity of being. Students must aspire to personal excellence to be successful and we help them master the challenges of a college preparatory curriculum, guide them through the college entrance process and prepare them for success. Our coursework is designed to give students the knowledge, skills and strategies to pass the Regents, excel on the SAT and succeed in college and life.","Hayden Foundation Summer Bridge Program for incoming 9th graders; At Home In College-CUNY Program; Partnership with College for Every Student (CFES) Foundation which provides Pathways to College, Mentoring and Leadership Through Service opportunities; Kaplan SAT Test Preparation Program; Participation in Lehman Collegeâ€™s College Now program; Auxiliary partnerships with The University of Vermont, SUNY Albany, SUNY New Paltz, Sullivan County CC, Roger Williams University",Spanish,"English Language and Composition, English Literature and Composition, United States Government and Politics, United States History","Art, Bank of America Future Leaders, Book, College for Every Student (CFES), College Mentoring for Access and Persistence (MAP), The Future Project, New York Cares, Peer Tutoring, Peer Mediation Center, Senior Activities, Student Government Organization, The Dream Team, Yearbook, Anti-Defamation League Peer Leaders (ADL), Sports Blogging/ Webcasting",,"City College of New York, Hunter College College Now Program, New York University, Williams College Urban Scholars, Roger Williams University, Skidmore College, Paul Smith's College",ESL,2,"Baseball, Basketball","Basketball, Softball",71%,72%,55%,7,61%,74%,41%,6.8,76%,70%,47%,7.3,Proficient,2010-11,Liberal Arts Academy,Humanities & Interdisciplinary,,,,,,,80,290,5,13
82,02M600,The High School of Fashion Industries,Manhattan,9,12,10011,1732,CTE School,"Fannie Lou Hamer Freedom High School students develop critical thinking, research and analytical skills in pursuit of college and career readiness. Students and teachers work together to create a community of caring and concerned citizens. Technology is used to maximize individualization, independence and depth of learning. Our four-year Advisory curriculum focuses on the academic development, skills and knowledge necessary for college. College classes, internships and digital courses provide a broad range of learning opportunities. At the Children's Aid Society Student Success Center (SSC), students work with a team of full-time college and career counselors to explore post-secondary goals and complete college and scholarship applications. Since 1994, our graduates have gone on to succeed in city, state and private colleges and are pursuing careers in businses, media, social work, education and technical fields.","With teachers serving as guides and coaches, our students create a portfolio of rich, personal work in seven areas: Literature, Math, Social Studies, Science, Social Issues, Art and electives; Online courses are available for students wishing to register for courses not offered at the school; College Now and NYU Partnership college courses; Community Outreach and Internship Program ('real life' internships throughout New York City); Project-based assessments",Spanish,"Biology, Calculus AB, English Literature and Composition, Spanish Language and Culture, United States History","National Honor Society, Fashion Cares Community Service Organization, 'The Hanger' Literary Magazine, 'The Image' School Newspaper, iMag Fashion Magazine; Accessories, Adopt-a-Student Mentorship, Anime, Cosmetology, Distributive Education Club of America (DECA), Drama, Fashion Institute of Technology Illustration, Fashion With A Purpose, Film Society, Library Chit Chat, Peer Leadership Advisories, Photography, Portfolio, Restorative Circles, Rif Raf Book Club, School Leadership Team, SkillsUSA, Student Government, Tailoring, Tutoring, Work-based Learning Programs, Lincoln-Douglas Debate Team, Knitting, Styling, Charles Nolan Fashion Club, Fashion Forecasting, Korean Pop Culture, Animal Wellness","Competitive Cheerleading Team, Hip-Hop Reggae Dance Team, Step Team","Hunter College, City College, Fashion Institute of Technology (FIT), Monroe College, LIM College",ESL,1,"Baseball, Basketball","Basketball, Softball, Volleyball",91%,91%,66%,7.1,90%,89%,64%,6.5,85%,82%,67%,7.4,Well Developed,2007-08,"Fashion Design, Related Arts & Business Fields",Visual Art & Design,,,,,,,475,2057,30,129
83,02M605,Humanities Preparatory Academy,Manhattan,9,12,10011,210,Consortium School,"FDNY High School works in collaboration with the New York City Fire Department to offer an exceptional educational institution while introducing the occupational benefits of the Fire and Emergency Medical Services (EMS). Upon passing the New York State EMS Certification Exam in the twelfth grade, our students may have the opportunity to roll into a full-time position with the FDNY. By doing so, they will also understand the benefits of a career in civil service. In addition, all students will be prepared to pursue a post-secondary education as they enter their young adult life. Our students will study courses dealing with biology, life-saving skills, human anatomy, fire science, extinguishing agents and their chemical make-up, and official procedures for becoming a NYC Fire Fighter. Our graduates go on to work as EMTs and Fire Fighters for the FDNY.","EMT Certificate, College Now, Collegiate Program, Firematics (chemistry-based course around fire science and fire safety), Firefighter 101, CPR/First Responder, Graphic Arts & Technology","French, Spanish",,"Consensus-based decision-making, Critical Friends groups, Distributive/Democratic leadership, Faculty Hiring Committee, Fairness Committee, HealthWise, HumaniTube, Mediation, Musical Groups/Bands, NYC Outward Bound Adventure, Prep Choir, Prep Musicals, PrepCorps, Restorative Justice Models for Staff, Robotics, Sailing, Shakespeare Society, Staff Hiring Committee, Staff Inquiry Groups, Student Activities Committee, Student Government, The Great Saunter, The Great Sweep, Visual and Performing Arts Society, Yoga, Nia Dance",Table Tennis (Ping-Pong),"Baruch College, Eugene Lang College The New School for Liberal Arts, Hunter College, New York University",ESL,1,"Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Volleyball","Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",N/A,N/A,N/A,8.1,N/A,N/A,N/A,6.9,N/A,N/A,N/A,8.4,Proficient,2010-11,Humanities Preparatory Academy,Humanities & Interdisciplinary,Scores 80-100,Scores 80-100,Scores 80-100,Scores 80-100,Levels 2-4,Levels 2-4,35,572,None,None
84,02M615,Chelsea Career and Technical Education High School,Manhattan,9,12,10013,443,CTE School,"Flushing High School is a vibrant, international community of students, educators, families and community leaders working together to develop active, independent learners and productive global citizens. Our mission is to prepare students to graduate with the essential and critical skills required for post-secondary and career success, and a well-developed concept of individual and civic responsibility. Our programs provide a rigorous standards-based education built on the premise that all students have the ability to meet the academic, career and societal demands of the 21st Century. Graduates of Flushing High School will demonstrate College and Career Readiness, critical problem-solving abilities, a collaborative spirit and a commitment to civic duty. All adult stakeholders, including school administrators, teachers and support staff, accept responsibility for creating a safe and nurturing learning environment for students in which these goals can be achieved. Adult stakeholders also provide leadership and serve as role models for the young people we serve.","Students may receive CTE endorsement in the following areas: Virtual Enterprise, Marketing, Business; 9th Grade Academy, Thurgood Marshall Law Academy, Mock Trial, Moot Court, Debate Teams, Health & Science Academy, Advanced Studies Program, Academy of Business & Entrepreneurial Studies including Virtual Enterprises, LEAD, Open Stages, After-school tutoring events sponsored through AT&T, Aspire Grant, Sports and Arts Foundation, College Now/College Focus courses, Saturday Academy Regents Prep, SAT Prep, Title III ESL Classes & Tutorials, Extended Day Classes, APEX Blended Learning, Aleks 9th grade math program, iLearnNYC",Spanish,"Calculus AB, English Literature and Composition, Physics C: Mechanics, Spanish Language and Culture, United States Government and Politics, United States History","Chelsea SAT, Computer Repair, Dance, Drama, Electrical Engineers, Internships, Math, Mentoring, Music, National Honor Society, Prep Courses for Advanced Placement (AP) Program, SAT Prep, Student Government, Yearbook",,"Pratt Institute, Parsons School of Design",ESL,2,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Football, Handball, Indoor Track, JV Football, Soccer, Tennis, Volleyball, Wrestling","Basketball, Handball, Indoor Track, Soccer, Softball & JV Softball, Tennis, Wrestling",83%,80%,41%,7.5,77%,73%,25%,6.9,79%,74%,53%,7.3,Proficient,2011-12,Chelsea Technical Academy/Cisco,Computer Science & Technology,Scores 75-100,Scores 75-100,Scores 75-100,Scores 75-100,Levels 2-4,Levels 2-4,45,640,6,32
85,02M615,Chelsea Career and Technical Education High School,Manhattan,9,12,10013,443,CTE School,"For nearly a century, Abraham Lincoln High School has been a leader in New York City education. Lincoln alumni have gone on to great success in every imaginable field. This great tradition and the legacy of our namesake still resonate at Lincoln today. Abraham Lincoln High School is a community where all members help one another pursue their potential. Through our partnership with Johns Hopkins University's Talent Development High Schools, we offer Small Learning Communities (SLC). Our ninth and tenth grade Academies feature a block schedule in which teams of teachers meet with guidance counselors to discuss and support each student's academic performance and socio-emotional development. The first two years at Lincoln are dedicated to meeting high school graduation requirements, while the junior and senior years in the upper academies are devoted to college and career readiness in the sciences or humanities. Lincoln provides students with the individualized attention of SLC, as well as the assets, resources, and facilities of a large comprehensive high school. We offer a state-of-the-art photography studio, two animal science labs, a vast library, multiple computer labs, spacious grounds, three gymnasiums and a swimming pool. Our extensive elective course offerings, including Advanced Placement and College Now classes, empower our academic achievers to complete up to a year of college credit during their secondary studies. Lincoln is a school where students have every opportunity to pursue their potential.","The Institute for Professions in Science (IPS), The Gilder Lehrman Honors Institute for American Studies, Professional Photography, Pre-Veterinary Animal Science",Spanish,"Calculus AB, English Literature and Composition, Physics C: Mechanics, Spanish Language and Culture, United States Government and Politics, United States History","Chelsea SAT, Computer Repair, Dance, Drama, Electrical Engineers, Internships, Math, Mentoring, Music, National Honor Society, Prep Courses for Advanced Placement (AP) Program, SAT Prep, Student Government, Yearbook",,"Pratt Institute, Parsons School of Design",ESL,2,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cricket, Cross Country, Football & JV Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling","Basketball & JV Basketball, Bowling, Cricket, Cross Country, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",83%,80%,41%,7.5,77%,73%,25%,6.9,79%,74%,53%,7.3,Proficient,2011-12,SoHo Communication Arts Academy,Visual Art & Design,,,,,,,80,532,6,30
86,02M630,Art and Design High School,Manhattan,9,12,10019,1438,CTE School,"For over seventy years, Art and Design High School has nurtured talented students through its extensive art program to become accomplished professionals. Located in the heart of New York Cityâ€™s cultural center, we are a community of scholars dedicated to fostering the creative and academic talents of each of our gifted art students. We are nationally known for our design programs in architecture, fashion design, graphic design, illustration and digital photography and video technology. Graduates from our school are leaders in the field of art and the community at large.","Students may receive CTE endorsement in the following areas: Film/Video Production, Commercial Photography, Cartooning and Animation; Program majors offered: Architectural Design, Commercial Photography, Film and Video Production, Cartooning and Animation, Fashion and Costume Design, Illustration and Graphic Design; Partnership with the School of Visual Arts (students can earn up to 4 credits in art as juniors and seniors); Partnerships with The Metropolitan Museum of Art, MoMA, Frick Museum; Studio in a School; Tribeca partnership at the school for film instruction; Internship program through Work-Based Learning (WBL); Partner school of Exploring the Arts (internships, apprenticeships and scholarships); PENCIL partner; College Now, Portfolio Development",Spanish,"Art History, Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Spanish Language and Culture, Studio Art: 2-D Design, Studio Art: Drawing, United States History, World History","AIGA NYC (professional association for design) Mentoring, Animation, Film/Video, Apollo Theater Internships, Drama, Exhibitions in Kenny Art Gallery, Fashion Design, Gay/Straight Alliance, Interior Design, Literary Arts Journal, Mock Trial, Museum Hopping, National Honor Society, New York Cares/Kaplan Saturday SAT Prep, Newspaper, Old Hat Illustration, Peer Tutoring, Portfolio Development, School Student Leaders, Silk Screening, Spring Arts Festival, Teen Tutoring, Saturday Art Directors, The Art Students League of New York, Yearbook, CAE Internships, Studio in a School Internship, Portfolio Development Programs","Aerobic Training, Basketball, Intramural Sports, Nautilus Training, Spinning, Volleyball, Weight Training; student-faculty games","Articulation Agreement with with New York City College of Technology,City Tech CUNY; College Now, Hunter College; EOP program Fashion Institute of Technology; EOP Program PRATT Institute; SATURDAY PROGRAM: The Cooper Union for the Advancement of Science and Art; New York Institute of Technology,Polytechnic Institute of New York University; St. Johns University; Baruch College,CUNY",ESL,3,"Baseball, Basketball, Handball, Soccer, Volleyball","Basketball, Softball, Volleyball",81%,84%,82%,6.9,89%,82%,51%,6.4,85%,83%,68%,7.5,Proficient,2010-11,Architectural Design,Architecture,,,,,,,56,360,4,25
